Human Prompt,Cypher Query
"What methods does 'ping' call?","MATCH (m:Method {name: 'ping'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'HealthIndicator' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'HealthIndicator'}) RETURN c.name;"
"Find all methods that return an 'enum' type.","MATCH (m:Method)-[:RETURNS]->(e:Enum) RETURN m.signature, e.name;"
"How many classes implement at least one interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->() RETURN count(DISTINCT c);"
"Show me all the methods in the 'WebSocketHandler' class.","MATCH (c:Class {name: 'WebSocketHandler'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'afterConnectionEstablished' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'afterConnectionEstablished'}) RETURN caller.signature;"
"List all fields in the 'WebSocketSession' class.","MATCH (c:Class {name: 'WebSocketSession'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.websocket' package.","MATCH (p:Package {name: 'com.myapp.websocket'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'handleTextMessage' method.","MATCH (m:Method {name: 'handleTextMessage'}) RETURN m.code;"
"Which classes import 'org.springframework.web.socket.WebSocketHandler'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'org.springframework.web.socket.WebSocketHandler'}) RETURN c.name;"
"Find all methods that have a 'Session' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Session' RETURN m.name, m.signature;"
"Find classes with more than 20 methods.","MATCH (c:Class)-[:HAS_METHOD]->(m) WITH c, count(m) as methodCount WHERE methodCount > 20 RETURN c.name, methodCount;"
"Show me the path of the '.gitignore' file.","MATCH (f:File {path: '.gitignore'}) RETURN f.path;"
"List all methods that call 'System.exit'.","MATCH (m:Method)-[:CALLS]->(c:Method) WHERE c.signature CONTAINS 'System.exit' RETURN m.name, m.signature;"
"Find the class with the name 'BatchProcessor'.","MATCH (c:Class {name: 'BatchProcessor'}) RETURN c.name, c.package;"
"What does the 'processBatch' method call?","MATCH (m:Method {name: 'processBatch'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'startJob'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'startJob'}) RETURN caller.name;"
"Get all fields for the 'JobExecution' class.","MATCH (c:Class {name: 'JobExecution'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'batch' package?","MATCH (p:Package {name: 'batch'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'execute' in 'Job' interface.","MATCH (i:Interface {name: 'Job'})-[:HAS_METHOD]->(m:Method {name: 'execute'}) RETURN m.signature;"
"Which classes are part of a batch job?","MATCH (c:Class) WHERE c.package CONTAINS 'batch' RETURN c.name;"
"Find all methods whose name contains 'batch'.","MATCH (m:Method) WHERE m.name CONTAINS 'batch' RETURN m.name;"
"Get the file path for the 'BatchConfig' class.","MATCH (c:Class {name: 'BatchConfig'}) RETURN c.file_path;"
"What does the 'step' method call?","MATCH (m:Method {name: 'step'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'job'?","MATCH (m:Method {name: 'job'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'ItemReader'.","MATCH (c:Class {name: 'ItemReader'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'read'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'read'}) RETURN caller.name;"
"List the fields for 'BatchStatus' enum.","MATCH (e:Enum {name: 'BatchStatus'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all enums in the 'batch.model' package.","MATCH (p:Package {name: 'batch.model'})-[:CONTAINS]->(e:Enum) RETURN e.name;"
"Get the code for 'write' method in 'ItemWriter'.","MATCH (c:Class {name: 'ItemWriter'})-[:HAS_METHOD]->(m:Method {name: 'write'}) RETURN m.code;"
"Which classes in 'com.myapp.batch' are listeners?","MATCH (p:Package {name: 'com.myapp.batch'})-[:CONTAINS]->(c:Class) WHERE c.name CONTAINS 'Listener' RETURN c.name;"
"Show me all methods that return a 'JobExecution'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'JobExecution' RETURN m.signature;"
"What is the parent class of 'AbstractStep'?","MATCH (c:Class {name: 'AbstractStep'}) RETURN c.extension;"
"Find all orphaned methods (in a file with no class/interface).","MATCH (f:File)-[:CONTAINS_TYPE]->(m:Method) WHERE NOT (f)-[:CONTAINS_TYPE]->(:Class) AND NOT (f)-[:CONTAINS_TYPE]->(:Interface) RETURN f.path, m.name;"
"List all methods in the 'GraphQLController' class.","MATCH (c:Class {name: 'GraphQLController'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'query' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'query'}) RETURN caller.signature;"
"What are the fields in the 'GraphQLRequest' class?","MATCH (c:Class {name: 'GraphQLRequest'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.graphql' package.","MATCH (p:Package {name: 'com.myapp.graphql'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'mutation' in 'GraphQLController'.","MATCH (c:Class {name: 'GraphQLController'})-[:HAS_METHOD]->(m:Method {name: 'mutation'}) RETURN m.signature;"
"What methods does 'executeGraphQL' call?","MATCH (m:Method {name: 'executeGraphQL'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'DataFetcher' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'DataFetcher'}) RETURN c.name;"
"Find all methods that return a 'GraphQLResponse'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'GraphQLResponse' RETURN m.signature;"
"How many fields does 'User' class have?","MATCH (:Class {name: 'User'})-[:HAS_FIELD]->(f) RETURN count(f);"
"Show me all the methods in the 'MetricsFilter' class.","MATCH (c:Class {name: 'MetricsFilter'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'doFilter' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'doFilter'}) RETURN caller.signature;"
"List all fields in the 'RequestMetrics' class.","MATCH (c:Class {name: 'RequestMetrics'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.metrics' package.","MATCH (p:Package {name: 'com.myapp.metrics'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'recordMetric' method.","MATCH (m:Method {name: 'recordMetric'}) RETURN m.code;"
"Which classes import 'io.micrometer.core.instrument.MeterRegistry'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'io.micrometer.core.instrument.MeterRegistry'}) RETURN c.name;"
"Find all methods that have a 'Timer' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Timer' RETURN m.name, m.signature;"
"Find classes that are not in any package.","MATCH (c:Class) WHERE c.package IS NULL RETURN c.name;"
"Show me the path of the 'settings.xml' file.","MATCH (f:File {path: 'settings.xml'}) RETURN f.path;"
"List all methods that call themselves (recursive).","MATCH (m:Method)-[:CALLS]->(m) RETURN m.name, m.signature;"
"Find the class with the name 'AopProxy'.","MATCH (c:Class {name: 'AopProxy'}) RETURN c.name, c.package;"
"What does the 'invoke' method call?","MATCH (m:Method {name: 'invoke'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'getProxy'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'getProxy'}) RETURN caller.name;"
"Get all fields for the 'AdvisedSupport' class.","MATCH (c:Class {name: 'AdvisedSupport'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'aop' package?","MATCH (p:Package {name: 'aop'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'getTargetClass' in 'Advised' interface.","MATCH (i:Interface {name: 'Advised'})-[:HAS_METHOD]->(m:Method {name: 'getTargetClass'}) RETURN m.signature;"
"Which classes are AOP advices (name ends with 'Advice')?","MATCH (c:Class) WHERE c.name ENDS WITH 'Advice' RETURN c.name;"
"Find all methods whose name contains 'aspect'.","MATCH (m:Method) WHERE m.name CONTAINS 'aspect' RETURN m.name;"
"Get the file path for the 'Pointcut' interface.","MATCH (i:Interface {name: 'Pointcut'}) RETURN i.file_path;"
"What does the 'matches' method call?","MATCH (m:Method {name: 'matches'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'getPointcut'?","MATCH (m:Method {name: 'getPointcut'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'AspectJExpressionPointcut'.","MATCH (c:Class {name: 'AspectJExpressionPointcut'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'setExpression'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'setExpression'}) RETURN caller.name;"
"List the fields for 'ProxyFactory' class.","MATCH (c:Class {name: 'ProxyFactory'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the 'aop.framework' package.","MATCH (p:Package {name: 'aop.framework'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Get the code for 'addAdvice' method.","MATCH (m:Method {name: 'addAdvice'}) RETURN m.code;"
"Which classes in 'com.myapp.aop' have a method starting with 'before'?","MATCH (p:Package {name: 'com.myapp.aop'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) WHERE m.name STARTS WITH 'before' RETURN c.name, m.name;"
"Show me all methods that return a 'Pointcut'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Pointcut' RETURN m.signature;"
"What is the parent class of 'AbstractAopProxy'?","MATCH (c:Class {name: 'AbstractAopProxy'}) RETURN c.extension;"
"Find all god classes (more than 50 methods).","MATCH (c:Class)-[:HAS_METHOD]->(m) WITH c, count(m) as methodCount WHERE methodCount > 50 RETURN c.name, methodCount;"
"List all methods in the 'TransactionManager' class.","MATCH (c:Class {name: 'TransactionManager'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'commit' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'commit'}) RETURN caller.signature;"
"What are the fields in the 'TransactionStatus' class?","MATCH (c:Class {name: 'TransactionStatus'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.transaction' package.","MATCH (p:Package {name: 'com.myapp.transaction'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'rollback' in 'TransactionManager'.","MATCH (c:Class {name: 'TransactionManager'})-[:HAS_METHOD]->(m:Method {name: 'rollback'}) RETURN m.signature;"
"What methods does 'begin' call?","MATCH (m:Method {name: 'begin'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'PlatformTransactionManager' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'PlatformTransactionManager'}) RETURN c.name;"
"Find all methods that return a 'Transaction'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Transaction' RETURN m.signature;"
"How many methods are in the 'TransactionAspectSupport' class?","MATCH (c:Class {name: 'TransactionAspectSupport'})-[:HAS_METHOD]->(m) RETURN count(m);"
"Show me all the methods in the 'EventPublisher' class.","MATCH (c:Class {name: 'EventPublisher'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'publishEvent' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'publishEvent'}) RETURN caller.signature;"
"List all fields in the 'ApplicationEvent' class.","MATCH (c:Class {name: 'ApplicationEvent'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.event' package.","MATCH (p:Package {name: 'com.myapp.event'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'onApplicationEvent' method.","MATCH (m:Method {name: 'onApplicationEvent'}) RETURN m.code;"
"Which classes implement 'ApplicationListener'?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'ApplicationListener'}) RETURN c.name;"
"Find all methods that have an 'Event' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Event' RETURN m.name, m.signature;"
"Find classes that listen to events but don't publish any.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(:Interface {name: 'ApplicationListener'}) WHERE NOT EXISTS((c)-[:HAS_METHOD]->()-[:CALLS]->(:Method {name: 'publishEvent'})) RETURN c.name;"
"Show me the path of the 'log4j2.xml' file.","MATCH (f:File {path: 'log4j2.xml'}) RETURN f.path;"
"List all methods that call 'logger.info'.","MATCH (m:Method)-[:CALLS]->(c:Method) WHERE c.signature CONTAINS 'logger.info' RETURN m.name, m.signature;"
"Find the class with the name 'LoggerFactory'.","MATCH (c:Class {name: 'LoggerFactory'}) RETURN c.name, c.package;"
"What does the 'getLogger' method call?","MATCH (m:Method {name: 'getLogger'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'debug'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'debug'}) RETURN caller.name;"
"Get all fields for the 'LoggerContext' class.","MATCH (c:Class {name: 'LoggerContext'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'logging' package?","MATCH (p:Package {name: 'logging'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'log' in 'Logger' interface.","MATCH (i:Interface {name: 'Logger'})-[:HAS_METHOD]->(m:Method {name: 'log'}) RETURN m.signature;"
"Which classes have a 'Logger' field?","MATCH (c:Class)-[:HAS_FIELD]->(f:Field) WHERE f.type = 'Logger' RETURN c.name;"
"Find all methods whose name contains 'log'.","MATCH (m:Method) WHERE m.name CONTAINS 'log' RETURN m.name;"
"Get the file path for the 'AuditService' class.","MATCH (c:Class {name: 'AuditService'}) RETURN c.file_path;"
"What does the 'logAccess' method call?","MATCH (m:Method {name: 'logAccess'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'logFailure'?","MATCH (m:Method {name: 'logFailure'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'AuditInterceptor'.","MATCH (c:Class {name: 'AuditInterceptor'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'audit'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'audit'}) RETURN caller.name;"
"List the fields for 'AuditEvent' class.","MATCH (c:Class {name: 'AuditEvent'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the 'audit' package.","MATCH (p:Package {name: 'audit'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Get the code for 'createAuditEvent' method.","MATCH (m:Method {name: 'createAuditEvent'}) RETURN m.code;"
"Which classes in 'com.myapp.audit' are annotated with '@Service'?","MATCH (p:Package {name: 'com.myapp.audit'})-[:CONTAINS]->(c:Class) WHERE c.code CONTAINS '@Service' RETURN c.name;"
"Show me all methods that return an 'AuditEvent'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'AuditEvent' RETURN m.signature;"
"What is the parent class of 'AbstractAuditEvent'?","MATCH (c:Class {name: 'AbstractAuditEvent'}) RETURN c.extension;"
"Find all utility classes (name ends with 'Utils' or 'Util').","MATCH (c:Class) WHERE c.name ENDS WITH 'Utils' OR c.name ENDS WITH 'Util' RETURN c.name;"
"List all methods in the 'ReflectionUtils' class.","MATCH (c:Class {name: 'ReflectionUtils'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'findMethod' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'findMethod'}) RETURN caller.signature;"
"What are the fields in the 'FieldCallback' class?","MATCH (c:Class {name: 'FieldCallback'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.util.reflection' package.","MATCH (p:Package {name: 'com.myapp.util.reflection'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'makeAccessible' in 'ReflectionUtils'.","MATCH (c:Class {name: 'ReflectionUtils'})-[:HAS_METHOD]->(m:Method {name: 'makeAccessible'}) RETURN m.signature;"
"What methods does 'doWithFields' call?","MATCH (m:Method {name: 'doWithFields'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'MethodCallback' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'MethodCallback'}) RETURN c.name;"
"Find all methods that return a 'Field'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Field' RETURN m.signature;"
"How many static methods are in 'StringUtils'?","MATCH (:Class {name: 'StringUtils'})-[:HAS_METHOD]->(m) WHERE m.signature CONTAINS 'static' RETURN count(m);"
"Show me all the methods in the 'TaskScheduler' class.","MATCH (c:Class {name: 'TaskScheduler'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'schedule' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'schedule'}) RETURN caller.signature;"
"List all fields in the 'Trigger' class.","MATCH (c:Class {name: 'Trigger'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.scheduler' package.","MATCH (p:Package {name: 'com.myapp.scheduler'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'nextExecutionTime' method.","MATCH (m:Method {name: 'nextExecutionTime'}) RETURN m.code;"
"Which classes implement 'SchedulingConfigurer'?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'SchedulingConfigurer'}) RETURN c.name;"
"Find all methods that have a 'Task' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Task' RETURN m.name, m.signature;"
"Find classes that are scheduled tasks (annotated with '@Scheduled').","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS '@Scheduled' RETURN DISTINCT c.name;"
"Show me the path of the 'application.properties' file.","MATCH (f:File {path: 'application.properties'}) RETURN f.path;"
"List all methods that call 'super.clone()'.","MATCH (m:Method)-[:CALLS]->(c:Method) WHERE c.signature CONTAINS 'super.clone' RETURN m.name, m.signature;"
"Find classes that do not implement any interfaces.","MATCH (c:Class) WHERE NOT (c)-[:IMPLEMENTS_INTERFACE]->() RETURN c.name;"
"List all methods that are not called by any other method.","MATCH (m:Method) WHERE NOT ()-[:CALLS]->(m) RETURN m.name, m.signature;"
"Show me all files that do not contain a Class.","MATCH (f:File) WHERE NOT (f)-[:CONTAINS_TYPE]->(:Class) RETURN f.path;"
"Which packages are empty?","MATCH (p:Package) WHERE NOT (p)-[:CONTAINS]->() RETURN p.name;"
"Find all classes that don't have a specified package.","MATCH (c:Class) WHERE c.package IS NULL OR c.package = '' RETURN c.name;"
"Get all methods that don't call any other methods (leaf functions).","MATCH (m:Method) WHERE NOT (m)-[:CALLS]->() RETURN m.name, m.signature;"
"List all classes that have no fields and no methods.","MATCH (c:Class) WHERE NOT (c)-[:HAS_FIELD]->() AND NOT (c)-[:HAS_METHOD]->() RETURN c.name;"
"Show me interfaces with no methods defined.","MATCH (i:Interface) WHERE NOT (i)-[:HAS_METHOD]->() RETURN i.name;"
"Which classes do not extend any other class?","MATCH (c:Class) WHERE c.extension IS NULL RETURN c.name;"
"Find methods that have no parameters.","MATCH (m:Method) WHERE NOT (m)-[:HAS_PARAMETER]->() RETURN m.name, m.signature;"
"Which is larger, 'UserService' or 'ProductService', in terms of method count?","MATCH (c1:Class {name: 'UserService'})-[:HAS_METHOD]->(m1) WITH count(m1) as userServiceMethods MATCH (c2:Class {name: 'ProductService'})-[:HAS_METHOD]->(m2) WITH userServiceMethods, count(m2) as productServiceMethods RETURN userServiceMethods, productServiceMethods;"
"Compare the number of fields in 'User' and 'UserProfile'.","MATCH (c1:Class {name: 'User'})-[:HAS_FIELD]->(f1) WITH count(f1) as userFields MATCH (c2:Class {name: 'UserProfile'})-[:HAS_FIELD]->(f2) WITH userFields, count(f2) as userProfileFields RETURN userFields, userProfileFields;"
"Does 'methodA' call 'methodB'?","MATCH (a:Method {name: 'methodA'}), (b:Method {name: 'methodB'}) RETURN EXISTS((a)-[:CALLS]->(b));"
"Find the shortest call path between 'startMethod' and 'endMethod'.","MATCH (start:Method {name: 'startMethod'}), (end:Method {name: 'endMethod'}), p = shortestPath((start)-[:CALLS*]-(end)) RETURN p;"
"Show me the call chain leading to 'processTransaction'.","MATCH p=(caller:Method)-[:CALLS*]->(callee:Method {name: 'processTransaction'}) RETURN p;"
"What are all the possible relationship types for a 'Class' node?","MATCH (c:Class)-[r]-() RETURN DISTINCT type(r);"
"List all properties that a 'Method' node can have.","MATCH (m:Method) UNWIND keys(m) AS key RETURN DISTINCT key;"
"Show me the schema of the graph.","CALL db.schema.visualization();"
"What are the labels in this graph database?","CALL db.labels() YIELD label RETURN label;"
"List all relationship types in the database.","CALL db.relationshipTypes() YIELD relationshipType RETURN relationshipType;"
"Find methods in 'ServiceA' that are not in 'ServiceB'.","MATCH (sa:Class {name:'ServiceA'})-[:HAS_METHOD]->(m) WHERE NOT EXISTS { MATCH (sb:Class {name:'ServiceB'})-[:HAS_METHOD]->(m) } RETURN m.name;"
"Get all classes from 'com.example.a' that are not in 'com.example.b'.","MATCH (pa:Package {name:'com.example.a'})-[:CONTAINS]->(c:Class) WHERE NOT EXISTS { MATCH (pb:Package {name:'com.example.b'})-[:CONTAINS]->(c) } RETURN c.name;"
"List all methods that are 'public' but not 'static'.","MATCH (m:Method) WHERE m.signature STARTS WITH 'public' AND NOT m.signature CONTAINS ' static ' RETURN m.signature;"
"Find all files modified today that are not test files.","MATCH (f:File) WHERE date(f.lastSeen) = date() AND NOT f.path CONTAINS 'Test' RETURN f.path;"
"Show me classes that have fields but no methods.","MATCH (c:Class)-[:HAS_FIELD]->() WHERE NOT (c)-[:HAS_METHOD]->() RETURN c.name;"
"Which methods are recursive?","MATCH (m:Method)-[:CALLS]->(m) RETURN m.name, m.signature;"
"Find all pairs of methods that call each other (mutual recursion).","MATCH (m1:Method)-[:CALLS]->(m2:Method), (m2:Method)-[:CALLS]->(m1:Method) RETURN m1.name, m2.name;"
"List all classes that have a 'Logger' field.","MATCH (c:Class)-[:HAS_FIELD]->(f:Field) WHERE f.type = 'Logger' RETURN c.name;"
"Show me the package and file path for every class named 'Utils'.","MATCH (c:Class {name: 'Utils'}) RETURN c.package, c.file_path;"
"Get all methods that return the same type as their class. (Fluent builders)","MATCH (c:Class)-[:HAS_METHOD]->(m:Method) WHERE m.signature ENDS WITH c.name RETURN c.name, m.signature;"
"Find all methods with a cyclomatic complexity greater than 10. (Heuristic)","MATCH (m:Method) WHERE size(split(m.code, 'if')) + size(split(m.code, 'while')) + size(split(m.code, 'for')) + size(split(m.code, 'case')) > 10 RETURN m.name;"
"List all classes that are in a 'service' package and implement 'Serializable'.","MATCH (p:Package)-[:CONTAINS]->(c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'Serializable'}) WHERE p.name ENDS WITH '.service' RETURN c.name;"
"Show me the full call graph starting from the 'main' method, up to 3 levels deep.","MATCH p=(m:Method {name: 'main'})-[:CALLS*1..3]->(callee) RETURN p;"
"Find all methods that are both 'final' and 'static'.","MATCH (m:Method) WHERE m.signature CONTAINS 'final' AND m.signature CONTAINS 'static' RETURN m.signature;"
"Which classes have a method with the same name as the class (constructor)?","MATCH (c:Class)-[:HAS_METHOD]->(m:Method) WHERE c.name = m.name RETURN c.name;"
"Get all methods that throw 'IOException'.","MATCH (m:Method) WHERE m.signature CONTAINS 'throws IOException' RETURN m.signature;"
"List all methods in 'com.myapp' and group them by class.","MATCH (p:Package {name:'com.myapp'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) RETURN c.name, collect(m.name) AS methods;"
"Find all 'TODO' comments in the codebase.","MATCH (m:Method) WHERE m.code CONTAINS 'TODO' RETURN m.name, m.signature;"
"Show me the classes that have 'private' constructors.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.name = c.name AND m.signature STARTS WITH 'private' RETURN c.name;"
"Which methods have a very long signature (more than 100 characters)?","MATCH (m:Method) WHERE size(m.signature) > 100 RETURN m.signature;"
"Get all methods that call 'deprecatedMethod'.","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'deprecatedMethod'}) RETURN caller.name;"
"List all classes that have more than 3 constructors.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE c.name = m.name WITH c, count(m) as constructorCount WHERE constructorCount > 3 RETURN c.name, constructorCount;"
"Find all methods inside an 'Anonymous Inner Class'.","MATCH (m:Method) WHERE m.signature CONTAINS '$' RETURN m.name, m.signature;"
"Show me the chain of inheritance for 'MySpecificClass'.","MATCH p=(c:Class {name: 'MySpecificClass'})-[:EXTENDS*]->(parent:Class) RETURN p;"
"Which classes are not used at all (no fields accessed, no methods called)?","MATCH (c:Class) WHERE NOT (c)-[:HAS_FIELD]->()<-[]-() AND NOT (c)-[:HAS_METHOD]->()<-[:CALLS]-() RETURN c.name;"
"Get all methods that return a 'Future' or 'CompletableFuture'.","MATCH (m:Method) WHERE m.signature CONTAINS 'Future<' OR m.signature CONTAINS 'CompletableFuture<' RETURN m.signature;"
"List all methods that create a new thread.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'new Thread' RETURN m.name;"
"Find all methods using 'System.out.println'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature = 'System.out.println(String)' RETURN m.name;"
"Show me all the 'Controller' classes that don't have corresponding 'Service' classes.","MATCH (c:Class) WHERE c.name ENDS WITH 'Controller' AND NOT EXISTS { MATCH (s:Class {name: substring(c.name, 0, size(c.name)-10) + 'Service'}) } RETURN c.name;"
"Which methods have a parameter of their own class type?","MATCH (c:Class)-[:HAS_METHOD]->(m)-[:HAS_PARAMETER]->(c) RETURN c.name, m.signature;"
"Get all methods in 'com.myapp.api' that don't return a DTO object.","MATCH (p:Package {name:'com.myapp.api'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) WHERE NOT m.signature ENDS WITH 'DTO' RETURN m.signature;"
"List all classes that are both 'abstract' and implement an interface.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->() WHERE c.signature CONTAINS 'abstract class' RETURN c.name;"
"Find all methods that are part of a 'Factory' pattern.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE c.name ENDS WITH 'Factory' AND m.name STARTS WITH 'create' RETURN c.name, m.name;"
"Show me all 'Exception' classes defined in the project.","MATCH (c:Class) WHERE c.extension ENDS WITH 'Exception' RETURN c.name;"
"Which methods handle exceptions (have a try-catch block)?","MATCH (m:Method) WHERE m.code CONTAINS 'catch (' RETURN m.name, m.signature;"
"Get all methods that call 'super()'.","MATCH (m:Method) WHERE m.code CONTAINS 'super()' RETURN m.name;"
"List all singleton classes. (Heuristic: private constructor and a static 'getInstance' method)","MATCH (c:Class)-[:HAS_METHOD]->(m1:Method), (c)-[:HAS_METHOD]->(m2:Method) WHERE m1.name = c.name AND m1.signature STARTS WITH 'private' AND m2.name = 'getInstance' AND m2.signature CONTAINS 'static' RETURN c.name;"
"Find all methods with more than 20 lines of code. (Heuristic)","MATCH (m:Method) WHERE size(split(m.code, '\n')) > 20 RETURN m.name;"
"Show me all methods in test files.","MATCH (f:File)-[:CONTAINS_TYPE]->(c:Class)-[:HAS_METHOD]->(m) WHERE f.path CONTAINS 'Test.java' RETURN m.signature;"
"Which classes have a one-to-one relationship with another class? (e.g., User and UserProfile)","MATCH (c1:Class)-[:HAS_FIELD]->(f:Field {type: c2.name}), (c2:Class)-[:HAS_FIELD]->(f2:Field {type: c1.name}) RETURN c1.name, c2.name;"
"Get all methods that are synchronized on 'this'.","MATCH (m:Method) WHERE m.code CONTAINS 'synchronized (this)' RETURN m.name;"
"List all methods that use lambda expressions.","MATCH (m:Method) WHERE m.code CONTAINS '->' RETURN m.name, m.signature;"
